JRR Name;Official Name;Region (UN);MENA (JRR);UN Member;DAC list
Sierra Leone;Republic of Sierra Leone;Africa: Western;0;1;1
Singapore;Republic of Singapore;Asia: South East;0;1;0
Slovakia;Slovak Republic;Europe: Eastern;0;1;0
Slovenia;Republic of Slovenia;Europe: Southern;0;1;0
Solomon Islands;Solomon Islands;Oceania: Pacific Islands;0;1;1
Somalia;Somali Republic;Africa: Eastern;0;1;1
South Africa;Republic of South Africa;Africa: Southern;0;1;1
South Sudan;Republic of South Sudan;Africa: Eastern;0;1;1
Spain;Kingdom of Spain;Europe: Southern;0;1;0
Sri Lanka;Democratic Socialist Republic of Sri Lanka;Asia: Southern;0;1;1
Sudan;Republic of the Sudan;Africa: Northern;1;1;1
Suriname;Republic of Suriname;Americas: South;0;1;1
Swaziland;Kingdom of Swaziland;Africa: Southern;0;1;1
Sweden;Kingdom of Sweden;Europe: Northern;0;1;0
Switzerland;Swiss Confederation;Europe: Western;0;1;0
Syria;Syrian Arab Republic;Asia: Western;1;1;1
Tajikistan;Republic of Tajikistan;Asia: Central;0;1;1
Tanzania;United Republic of Tanzania;Africa: Eastern;0;1;1
Thailand;Kingdom of Thailand;Asia: South East;0;1;1
Timor-Leste;Democratic Republic of Timor-Leste;Asia: South East;0;1;1
Togo;Republic of Togo;Africa: Western;0;1;1
Tonga;Kingdom of Tonga;Oceania: Pacific Islands;0;1;1
Tunisia;Republic of Tunisia;Africa: Northern;1;1;1
Turkey;Republic of Turkey;Asia: Western;1;1;1
Turkmenistan;Turkmenistan;Asia: Central;0;1;1
Tuvalu;Tuvalu;Oceania: Pacific Islands;0;1;1
Uganda;Republic of Uganda;Africa: Eastern;0;1;1
Ukraine;Ukraine;Europe: Eastern;0;1;1
United Arab Emirates;United Arab Emirates;Asia: Western;1;1;0
United Kingdom ;United Kingdom of Great Britain and Northern Ireland;Europe: Northern;0;1;0
United States of America;United States of America;Americas: North;0;1;0
Uruguay;Oriental Republic of Uruguay;Americas: South;0;1;1
Uzbekistan;Republic of Uzbekistan;Asia: Central;0;1;1
Vanuatu;Republic of Vanuatu;Oceania: Pacific Islands;0;1;1
Venezuela;Bolivarian Republic of Venezuela;Americas: South;0;1;1
Viet Nam;Socialist Republic of Viet Nam;Asia: South East;0;1;1
Yemen;Republic of Yemen;Asia: Western;1;1;1
Zambia;Republic of Zambia;Africa: Eastern;0;1;1
Zimbabwe;Republic of Zimbabwe;Africa: Eastern;0;1;1
